feature,importance,horizon_hours
delhi_ncr_fire_count_last_6h,0.0004990488178078213,72
haryana_fire_count_last_12h,0.0004931486825062981,72
fire_count_last_6h,0.000344490129261406,72
haryana_fire_count_last_6h,0.0003327609394141954,72
fire_x_inversion,0.0003302789107723966,72
hour_cos,0.0003271745055842157,72
uttarakhand_fire_count_last_6h,0.00031740305801094084,72
is_weekend,0.00019548531530835914,72
upwind_stubble_fire_count_last_6h,0.0001807009465210849,72
low_pbl_flag_lag_3h,0.00015993766232011794,72
pm25_x_inversion,0.00014761659124173983,72
is_winter,0.0001301858520086297,72
is_inversion_lag_12h,0.00012758841643692857,72
precipitation_mm,0.00011024658552086793,72
low_pbl_flag,0.00010779255306835214,72
rain_mm,9.586069052379904e-05,72
calm_wind_flag,7.800995646714202e-05,72
low_pbl_flag_lag_12h,4.978346330701832e-05,72
is_inversion_lag_24h,4.757829867000462e-05,72
punjab_fire_change_24h,3.532515349914183e-05,72
is_inversion_lag_3h,2.969386211893567e-05,72
fire_count_last_1h,2.416557061199995e-05,72
is_inversion_lag_1h,2.3929621851880096e-05,72
low_pbl_flag_lag_6h,2.0683701596205952e-05,72
trapping_condition_lag_24h,2.0260032124924688e-05,72
haryana_fire_count,1.504053793697232e-05,72
uttarakhand_fire_count,1.456213527626016e-05,72
fire_brightness_sum,1.164760031080365e-05,72
trapping_condition_lag_1h,1.0451654879190285e-05,72
punjab_fire_count,6.6761228786463875e-06,72
trapping_condition,6.125568296749492e-06,72
delhi_ncr_fire_count,4.221633974772842e-06,72
is_stubble_season,3.21116144243545e-06,72
fire_frp_sum,3.194647903821167e-06,72
upwind_stubble_fire_count_last_1h,2.240473116404247e-06,72
delhi_ncr_fire_count_last_1h,1.342933870852125e-06,72
upwind_stubble_fire_count,1.3360884916254723e-06,72
trapping_condition_lag_6h,1.2743319907914994e-06,72
is_inversion_lag_6h,1.1548712605932975e-06,72
uttarakhand_fire_count_last_1h,1.125491622470077e-06,72
trapping_condition_lag_3h,8.240349939100547e-07,72
fire_count,7.946491465815374e-07,72
punjab_fire_count_last_1h,7.78581610310153e-07,72
upwind_fire_change_24h,6.470083627637307e-07,72
is_inversion,6.40657255351767e-07,72
uttar_pradesh_fire_count,2.0782766585836355e-07,72
haryana_fire_change_24h,1.7387429660657101e-07,72
region_Punjab,9.769143261330758e-09,72
haryana_fire_count_last_1h,4.862529550986108e-09,72
uttar_pradesh_fire_count_last_1h,0.0,72
region_Delhi NCR,0.0,72
region_No fire this hour,0.0,72
region_Haryana,0.0,72
region_Other,0.0,72
region_Rajasthan,0.0,72
region_Uttar Pradesh,0.0,72
region_Uttarakhand,0.0,72
