horizon_hours,model,MAE,RMSE,R2
65,HistGradientBoosting,40.314,58.829,-0.051
66,Persistence,59.953,79.302,-0.9093
66,RandomForest,38.63,55.123,0.0775
66,HistGradientBoosting,40.757,59.958,-0.0914
67,Persistence,58.256,77.574,-0.8265
67,RandomForest,38.254,55.589,0.0621
67,HistGradientBoosting,40.606,59.631,-0.0793
68,Persistence,56.045,75.354,-0.7233
68,RandomForest,39.529,57.717,-0.011
68,HistGradientBoosting,40.434,59.747,-0.0834
69,Persistence,53.651,72.893,-0.6127
69,RandomForest,41.676,60.472,-0.1099
69,HistGradientBoosting,41.525,61.106,-0.1333
70,Persistence,51.319,70.539,-0.5103
70,RandomForest,41.374,60.49,-0.1106
70,HistGradientBoosting,41.571,60.956,-0.1278
71,Persistence,49.268,68.734,-0.434
71,RandomForest,42.12,61.414,-0.1448
71,HistGradientBoosting,42.024,61.401,-0.1443
72,Persistence,48.441,67.998,-0.4035
72,RandomForest,42.155,61.331,-0.1417
72,HistGradientBoosting,41.179,60.222,-0.1008
